NAME,DISTRICT,BOROUGH,POLITICAL PARTY
Christopher Marte,1,Manhattan,Democrat
Carlina Rivera,2,Manhattan,Democrat
Erik Bottcher,3,Manhattan,Democrat
Keith Powers,4,Manhattan,Democrat
Julie Menin,5,Manhattan,Democrat
Gale Brewer,6,Manhattan,Democrat
Shaun Abreu,7,Manhattan,Democrat
Diana Ayala,8,Manhattan and Bronx,Democrat
Kristin Richardson Jordan,9,Manhattan,Democrat
Carmen De La Rosa,10,Manhattan,Democrat
Eric Dinowitz,11,Bronx,Democrat
Kevin Riley,12,Bronx,Democrat
Marjorie Velázquez,13,Bronx,Democrat
Pierina Ana Sanchez,14,Bronx,Democrat
Oswald Feliz,15,Bronx,Democrat
Althea Stevens,16,Bronx,Democrat
Rafael Salamanca,17,Bronx,Democrat
Amanda Farías,18,Bronx,Democrat
Vickie Paladino,19,Queens,Republican
Sandra Ung,20,Queens,Democrat
Francisco Moya,21,Queens,Democrat
Tiffany Cabán,22,Queens,Democrat
Linda Lee,23,Queens,Democrat
James F. Gennaro,24,Queens,Democrat
Shekar Krishnan,25,Queens,Democrat
Julie Won,26,Queens,Democrat
Nantasha Williams,27,Queens,Democrat
Adrienne Adams,28,Queens,Democrat
Lynn Schulman,29,Queens,Democrat
Robert Holden,30,Queens,Democrat
Selvena N. Brooks-Powers,31,Queens,Democrat
Joann Ariola,32,Queens,Republican
Lincoln Restler,33,Brooklyn,Democrat
Jennifer Gutiérrez,34,Brooklyn and Queens,Democrat
Crystal Hudson,35,Brooklyn,Democrat
Chi Ossé,36,Brooklyn,Democrat
Sandy Nurse,37,Brooklyn,Democrat
Alexa Avilés,38,Brooklyn,Democrat
Shahana Hanif,39,Brooklyn,Democrat
Rita Joseph,40,Brooklyn,Democrat
Darlene Mealy,41,Brooklyn,Democrat
Charles Barron,42,Brooklyn,Democrat
Justin Brannan,43,Brooklyn,Democrat
Kalman Yeger,44,Brooklyn,Democrat
Farah Louis,45,Brooklyn,Democrat
Mercedes Narcisse,46,Brooklyn,Democrat
Ari Kagan,47,Brooklyn,Republican
Inna Vernikov,48,Brooklyn,Republican
Kamillah Hanks,49,Staten Island,Democrat
David Carr,50,Staten Island,Republican
Joseph Borelli,51,Staten Island,Republican
